thumb href,tagItemTitle href,speakerName,genericItemIntroText,specialty_codes href,specialty_codes,specialty_codes href (2),specialty_codes (2),specialty_codes href (3),specialty_codes (3),specialty_codes href (4),specialty_codes (4),specialty_codes href (5),specialty_codes (5),specialty_codes href (6),specialty_codes (6),specialty_codes href (7),specialty_codes (7),genericItemIntroText (2),specialty_codes href (8),specialty_codes (8),genericItemIntroText (3),specialty_codes href (9),specialty_codes (9),specialty_codes href (10),specialty_codes (10),specialty_codes href (11),specialty_codes (11),specialty_codes href (12),specialty_codes (12),specialty_codes href (13),specialty_codes (13),specialty_codes href (14),specialty_codes (14),specialty_codes href (15),specialty_codes (15),genericItemIntroText (5),genericItemIntroText (7),priceRange
https://www.ovations.com.au/speakers/jan-archer,https://www.ovations.com.au/speakers/jan-archer,Jan Archer,"Before leaving the Public Service Jan Archer was the Deputy Commissioner for Fair Trading in Queensland. She had previously completed significant reform agendas within the criminal justice system, most recently with the Office of the Director of Public Prosecutions, but also with the Department of Corrective Services and the Queensland Police Service. Jan's experience includes other significant c ...",https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/duncan-armstrong,https://www.ovations.com.au/speakers/duncan-armstrong,Duncan Armstrong,"Duncan Armstrong became a household name in Australia when he claimed one of only 3 Olympic Gold medals Australia won at the Seoul Games in 1988. Duncan broke the 200 freestyle world record to claim Australia's 100th medal on Olympic competition. Coached by the unstoppable Laurie Lawrence, Duncan's swimming career spanned 10 years in the green and gold. Duncan received a host of honours out of the ...",https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Olympics,OLYMPICS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/samantha-armytage,https://www.ovations.com.au/speakers/samantha-armytage,Samantha Armytage,Samantha has an extensive background in journalism and currently the co-host of Channel Sevens hugely popular Weekend Sunrise with Andrew O'Keefe and presenter for the 4.30pm Bulletin. Samantha can also be seen filling in on other News and Current affairs shows including Today Tonight Summer Series. Samantha is an exceptional MC and guest speaker who is in high demand from the corporate sector. ...,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/bettina-arndt,https://www.ovations.com.au/speakers/bettina-arndt,Bettina Arndt,"An experienced speaker known for her entertaining, compassionate, sexy, funny keynote speeches, now filled with wonderful new material to provide a welcome contrast to the troubled times we are experiencing. ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/tim-bailey,https://www.ovations.com.au/speakers/tim-bailey,Tim Bailey,"The full of life weather man has become a household name for New South Wales viewers, delivering the day's conditions and weekly forecast from locations around the State. In his trademark energetic style, Tim has built versatility in television and radio journalism, reporting on a wide range of topics and presenting and hosting a variety of shows including Totally Wild, The Big Breakfast and Good ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/sport,SPORT,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/eric-bailey,https://www.ovations.com.au/speakers/eric-bailey,Eric Bailey,"Renowned speaker, educator, author, coach, and activist Eric Bailey has risen into international prominence by delivering high-energy, motivating, inspiring, and thought-provoking presentations that lead to result-producing actions and accountability. Eric's firsthand experience on living up to one's full potential and activating inner passion, drive, and awesomeness is his trademark. Known fo ...",https://www.ovations.com.au/speaker-filter-search-results/speakers/Adversity,ADVERSITY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sport,SPORT,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,https://www.ovations.com.au/speakers/sales,SALES,,,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/peter-baines,https://www.ovations.com.au/speakers/peter-baines,Peter Baines,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adversity,ADVERSITY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/communication,COMMUNICATION,"Peter Baines OAM, is one of Australia’s leadership experts having road tested leadership the hard way. Peter spent 22 years with the NSW Police leading teams in response to acts of terrorism and natural disasters on a scale not previously seen.",https://www.ovations.com.au/speaker-filter-search-results/speakers/Social%20Responsibility,SOCIAL RESPONSIBILITY,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/greg-barnes,https://www.ovations.com.au/speakers/greg-barnes,Greg Barnes,,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speaker-filter-search-results/speakers/Management,MANAGEMENT,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,,,,,"Get ready to experience a most unique presentation from one of the world's top corporate team coaches. Greg travels the world coaching leadership teams for global giants like BHPBilliton, Starbucks, British Telecom and Chevron. Greg Barnes is also renowned as being one of the worst sailors to ever coach an Americas Cup and Gold Medal winning World Championship team for Australia. Luckily he is an ...",,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/natalie-barr,https://www.ovations.com.au/speakers/natalie-barr,Natalie Barr,"Natalie Barr is the news presenter on Sunrise on the Seven Network. She has also MC'd events such as the Diabetes Buzz Ball in Sydney, the Australian of the Year nominations and the Oakes Day Ladies lunch in Melbourne, as well as speaking about her experiences at various charity events. ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/chris-bath,https://www.ovations.com.au/speakers/chris-bath,Chris Bath,"Chris kicked off the new millennium with one of the biggest Master of Ceremonies gigs in the world, centre stage at the Sydney Olympics. When she's not speaking to 90 thousand people in sporting arenas, Chris anchors news for Australia's Seven Network. A fantastic MC with a professional, down to earth and witty style. Also very capable of facilitating more serious topical debates due to her experi ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/sattar-bawany,https://www.ovations.com.au/speakers/sattar-bawany,Sattar Bawany,"Prof Sattar Bawany is a Chief Learning Officer & Master Executive Coach. He is also the Adjunct Professor of Strategy from the Paris Graduate School of Management. Prof Bawany has over 25 years' international business management experience, including 15 years in executive coaching, group facilitation, and leadership development and training with global management consulting firms. Concurrently, ...",https://www.ovations.com.au/speaker-filter-search-results/speakers/Asia,ASIA,https://www.ovations.com.au/speakers/education,EDUCATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Globalisation,GLOBALISATION,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,,,,,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/tamerlaine-beasley,https://www.ovations.com.au/speakers/tamerlaine-beasley,Tamerlaine Beasley,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Asia,ASIA,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Human%20Resources,HUMAN RESOURCES,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,,,"Tamerlaine is an expert presenter and facilitator with more than 25 years’ experience, enabling collaboration and communication in diverse and global workplaces. Her presentations, advisory services and training programs are described by clients as ‘transformational’ and ‘game changing’. She is a member of the Board of the Australia-ASEAN Council for the Department of Foreign Affairs and Trade, and founder and Managing Director of Beasley Intercultural, Australia’s premier cross-cultural training and consultancy company. Tamerlaine speaks Thai and has studied Lao and Bahasa Indonesia.",,,,,,,,,,,,,,,,,,,,5000-10000
https://www.ovations.com.au/speakers/maggie-beer,https://www.ovations.com.au/speakers/maggie-beer,Maggie Beer,"Based in South Australia's Barossa Valley legendary Maggie Beer is a self-taught cook, food author, restaurateur and food producer. She and her husband Colin, established the Barossa Pheasant Farm Restaurant in 1978. This became famous for serving locally raised pheasant, along with a high quality patÃƒÂ© known as Pheasant Farm PatÃƒÂ©. ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Chef,CHEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000-10000
